COLLOCATES	WORDS	SPAN	CORPUS	SENTENCE_NUM	MATCHED_SENTENCE
putung	kegembiraan	'-4	corp_iWeb2011_300K	stn._228279	sinarnya yang berwarna kuning cerah menyiram kademangan sangkal <colloc span=-4>putung</colloc> seolah-olah sengaja menyiramkan <node>kegembiraan</node> bagi para penghuninya
membawa	kebahagiaan	'-1	corp_iMxd2012_1M	stn._158250	karena kesepian ibu akhirnya berteman dengan sesuatu yang <colloc span=-1>membawa</colloc> <node>kebahagiaan</node> semu baginya
cara	kebahagiaan	'-4	corp_iWeb2012_1M	stn._260603	begitulah <colloc span=-4>cara</colloc> domba saya mengalami <node>kebahagiaan</node>
baik	kebahagiaan	'-3	corp_iWeb2011_300K	stn._83418	berbagai celah kesempatan senantiasa terbuka bagi setiap insan untuk mengambil manfaat dan hikmah yang terkandung di dalamnya <colloc span=-3>baik</colloc> itu dalam <node>kebahagiaan</node> maupun penderitan
baru	kebahagiaan	'-3	corp_iNwsCrw2012_1M	stn._190052	ia mengajak warga tionghoa dan masyarakat lainnya di kota pontianak untuk memulai hidup <colloc span=-3>baru</colloc> dengan penuh <node>kebahagiaan</node> atau disebut gong xi fat chai
tenggelam	kebahagiaan	'-2	corp_iNews2010_300K	stn._69822	kami <colloc span=-2>tenggelam</colloc> dalam <node>kebahagiaan</node> dan kegembiraan pada saat yang sangat istimewa ini kata pasangan tersebut kepada us weekly
menulis	kegembiraan	'-4	corp_iNews2009_300K	stn._46433	ia <colloc span=-4>menulis</colloc> semangat saat ini <node>kegembiraan</node> yang luar biasa
dan	keriangan	'-1	riang_SKE	48_refID_73753_riang	ketulusan <colloc span=-1>dan</colloc> <node>keriangan</node> hati inilah yang akan membuat film ini akan mendapat perhatian penonton
lebih-lebih	kebahagiaan	'-1	corp_iWeb2012_1M	stn._216429	namun rumah tangga yang bisa membawa kita kepada kebahagiaan hidup di dunia <colloc span=-1>lebih-lebih</colloc> <node>kebahagiaan</node> di akhirat
dan	kebahagiaan	'4	corp_iMxd2012_1M	stn._172770	di mata jaja jelas terpancar kegembiraan dan <node>kebahagiaan</node> bila bersama kau <colloc span=4>dan</colloc> kami
